"Status","Name","Duration in ms","Description"
"passed","ru.stellarburgers.tests.UserLoginTest.shouldNotLoginWithInvalidLogin","688","Тест проверяет, что при попытке входа с неверными данными сервер возвращает 401 Unauthorized"
"passed","ru.stellarburgers.tests.CreateOrderTest.orderShouldBeCreatedWithAuthorization","4431","Тест создает заказ с авторизацией и проверяет, что сервер возвращает 201 Created"
"passed","ru.stellarburgers.tests.UserLoginTest.userShouldLoginSuccessfully","832","Тест создает пользователя и проверяет, что вход под существующим пользователем возвращает 200 OK"
"passed","ru.stellarburgers.tests.CreateOrderTest.orderShouldNotBeCreatedWithInvalidIngredientsHash","2173","Тест проверяет, что при создании заказа с неверным хешем ингредиентов сервер возвращает 500 Internal Server Error"
"passed","ru.stellarburgers.tests.CreateOrderTest.orderShouldBeCreatedWithIngredients","4630","Тест создает заказ с ингредиентами и проверяет, что заказ успешно создан"
"passed","ru.stellarburgers.tests.CreateOrderTest.orderShouldNotBeCreatedWithoutIngredients","1389","Тест проверяет, что при создании заказа без ингредиентов сервер возвращает 400 Bad Request"
"passed","ru.stellarburgers.tests.CreateUserTest.userShouldBeCreatedSuccessfully","408","Тест создаёт пользователя со всеми уникальными параметрами и проверяет, что сервер возвращает 201 Created и поле success в теле ответа имеет значение true"
"failed","ru.stellarburgers.tests.CreateOrderTest.orderShouldNotBeCreatedWithoutAuthorization","1390","Тест проверяет, что при создании заказа без авторизации сервер возвращает 401 Unauthorized"
"passed","ru.stellarburgers.tests.CreateUserTest.shouldNotCreateUserWithoutName","330","Тест проверяет, что при попытке создать пользователя без поля name сервер возвращает 403 Forbidden и сообщение об ошибке в теле ответа"
"passed","ru.stellarburgers.tests.CreateUserTest.shouldNotCreateUserWithoutPassword","325","Тест проверяет, что при попытке создать пользователя без поля password сервер возвращает 403 Forbidden и сообщение об ошибке в теле ответа"
"passed","ru.stellarburgers.tests.CreateUserTest.shouldNotCreateDuplicateUser","682","Тест создаёт пользователя с уникальными параметрами, затем пытается создать пользователя с тем же email и проверяет, что сервер возвращает 403 Forbidden и сообщение 'User already exists'"
"passed","ru.stellarburgers.tests.CreateUserTest.shouldNotCreateUserWithoutEmail","297","Тест проверяет, что при попытке создать пользователя без поля email сервер возвращает 403 Forbidden и сообщение об ошибке в теле ответа"
"passed","ru.stellarburgers.tests.UserLoginTest.shouldNotLoginWithInvalidPassword","775","Тест проверяет, что при попытке входа с неверными данными сервер возвращает 401 Unauthorized"
